month,monthly_revenue_inr,total_monthly_cost,cumulative_revenue,cumulative_cost,cumulative_profit,city,scenario
2,4023951.217562501,3488100.0,8471476.247500002,6976200.0,-108504723.7525,Mysuru,Optimistic
3,4235738.123750001,3488100.0,12707214.371250004,10464300.0,-107757085.62875,Mysuru,Optimistic
4,4659311.936125002,2808100.0,17366526.307375006,13272400.0,-105905873.69262499,Mysuru,Optimistic
5,4871098.842312501,2808100.0,22237625.149687506,16080500.0,-103842874.8503125,Mysuru,Optimistic
6,4023951.217562501,2808100.0,26261576.367250007,18888600.0,-102627023.63274999,Mysuru,Optimistic
7,4828741.461075,2128100.0,31090317.828325007,21016700.0,-99926382.171675,Mysuru,Optimistic
8,4936046.826876667,2128100.0,36026364.65520167,23144800.0,-97118435.34479833,Mysuru,Optimistic
9,5472573.655885001,2128100.0,41498938.31108668,25272900.0,-93773961.68891332,Mysuru,Optimistic
10,7404070.2403150005,2128100.0,48903008.551401675,27401000.0,-88497991.44859833,Mysuru,Optimistic
11,6706585.362604167,2128100.0,55609593.914005846,29529100.0,-83919506.08599415,Mysuru,Optimistic
12,5901795.119091668,2128100.0,61511389.03309751,31657200.0,-80145810.9669025,Mysuru,Optimistic
13,9318623.872250002,2128100.0,70830012.90534751,33785300.0,-72955287.09465249,Mysuru,Optimistic
14,8431135.884416666,2128100.0,79261148.78976418,35913400.0,-66652251.21023582,Mysuru,Optimistic
15,8874879.878333334,2128100.0,88136028.66809751,38041500.0,-59905471.33190249,Mysuru,Optimistic
16,9762367.866166668,2128100.0,97898396.53426418,40169600.0,-52271203.46573582,Mysuru,Optimistic
17,10206111.860083332,2128100.0,108104508.3943475,42297700.0,-44193191.605652496,Mysuru,Optimistic
18,8431135.884416666,2128100.0,116535644.27876417,44425800.0,-37890155.72123583,Mysuru,Optimistic
19,7987391.890500001,2128100.0,124523036.16926417,46553900.0,-32030863.830735832,Mysuru,Optimistic
20,8164889.488066668,2128100.0,132687925.65733084,48682000.0,-25994074.34266916,Mysuru,Optimistic
21,9052377.4759,2128100.0,141740303.13323084,50810100.0,-19069796.866769165,Mysuru,Optimistic
22,12247334.2321,2128100.0,153987637.36533085,52938200.0,-8950562.634669155,Mysuru,Optimistic
23,11093599.847916666,2128100.0,165081237.2132475,55066300.0,14937.21324750781,Mysuru,Optimistic
24,9762367.866166668,2128100.0,174843605.0794142,57194400.0,7649205.079414189,Mysuru,Optimistic
25,12707214.371250002,2128100.0,187550819.4506642,59322500.0,18228319.450664192,Mysuru,Optimistic
26,11497003.47875,2128100.0,199047822.92941418,61450600.0,27597222.929414183,Mysuru,Optimistic
27,12102108.925,2128100.0,211149931.8544142,63578700.0,37571231.854414195,Mysuru,Optimistic
28,13312319.817500003,2128100.0,224462251.6719142,65706800.0,48755451.67191419,Mysuru,Optimistic
29,13917425.26375,2128100.0,238379676.93566418,67834900.0,60544776.93566418,Mysuru,Optimistic
30,11497003.47875,2128100.0,249876680.41441417,69963000.0,69913680.41441417,Mysuru,Optimistic
31,10891898.0325,2128100.0,260768578.44691417,72091100.0,78677478.44691417,Mysuru,Optimistic
32,11133940.211000001,2128100.0,271902518.65791416,74219200.0,87683318.65791416,Mysuru,Optimistic
33,12344151.103500001,2128100.0,284246669.7614142,76347300.0,97899369.76141417,Mysuru,Optimistic
34,16700910.3165,2128100.0,300947580.0779142,78475400.0,112472180.07791418,Mysuru,Optimistic
35,15127636.15625,2128100.0,316075216.2341642,80603500.0,125471716.23416418,Mysuru,Optimistic
36,13312319.817500003,2128100.0,329387536.0516642,82731600.0,136655936.05166417,Mysuru,Optimistic
